SampleId	Viral	Human	Bacterial	Fungi	Archaea
Sample_63	0.55	89.80	18.54	5.41	1.71
Sample_37	0.63	38.26	56.84	8.74	11.92
Sample_107	0.51	92.36	12.08	3.31	0.92
Sample_194	10.45	7.52	79.77	7.70	6.72
Sample_183	80.57	17.14	2.60	1.06	0.47
Sample_111	94.98	3.30	0.52	0.33	0.23
Sample_140	0.62	39.48	65.43	9.82	8.80
Sample_128	27.14	57.91	16.91	11.67	8.27
Sample_169	1.94	10.64	75.22	1.91	1.67
Sample_153	0.63	80.20	16.47	3.78	1.19
Sample_94	0.80	84.83	20.19	4.01	1.92
Sample_77	0.57	89.22	21.16	5.63	2.60
Sample_12	10.65	85.76	7.29	2.31	0.75
Sample_13	4.72	82.85	18.45	11.01	5.45
Sample_143	4.45	19.72	70.21	7.46	5.91
Sample_154	5.61	27.29	52.33	3.60	2.41
Sample_170	0.28	45.58	44.26	2.11	1.10
Sample_78	37.68	43.63	17.66	1.94	0.72
Sample_95	14.66	65.41	22.98	3.67	3.55
Sample_119	0.27	26.42	60.95	2.14	1.60
Sample_109	0.63	85.87	17.93	3.84	2.01
Sample_38	0.55	79.87	31.52	6.43	3.63
Sample_67	0.64	23.31	62.58	3.10	2.21
Sample_184	14.57	8.85	75.25	7.43	6.42
Sample_196	0.56	71.73	14.18	1.29	0.43
Sample_112	0.36	4.31	85.44	8.44	7.14
Sample_175	3.32	9.06	84.00	8.04	6.86
Sample_157	49.23	2.19	43.58	4.36	3.03
Sample_138	3.54	84.64	17.95	3.05	2.16
Sample_127	0.39	55.46	44.60	5.05	3.84
Sample_19	1.31	41.04	80.18	10.17	8.68
Sample_200	0.22	13.19	74.53	5.22	5.84
Sample_97	0.52	37.72	55.20	4.91	3.15
Sample_8	0.55	64.28	41.20	5.47	3.90
Sample_Undetermined	32.66	23.56	38.80	18.84	18.10
Sample_106	3.10	62.05	35.37	3.43	1.76
Sample_6	0.32	47.28	35.41	4.02	2.94
Sample_36	0.41	60.26	18.04	2.83	1.37
Sample_114	0.59	85.59	18.67	3.85	1.86
Sample_193	30.02	67.00	4.33	1.32	0.53
Sample_182	0.35	90.71	9.99	2.34	0.44
Sample_35	45.87	18.15	27.70	3.60	3.15
Sample_56	2.14	91.91	7.73	1.89	0.95
Sample_Negative	0.00	0.00	0.00	0.00	0.00
Sample_105	4.56	10.74	75.13	3.23	2.38
Sample_113	0.60	92.16	13.45	4.05	1.59
Sample_180	0.57	39.53	60.25	8.82	11.64
Sample_192	0.32	75.66	17.94	0.75	0.41
Sample_156	19.57	70.42	11.75	2.56	0.85
Sample_171	0.38	58.57	31.45	2.64	1.11
Sample_125	1.50	6.32	90.08	10.84	8.65
Sample_137	0.39	24.41	64.44	4.84	5.69
Sample_201	0.67	30.34	81.94	15.82	9.44
Sample_190	71.44	10.37	17.30	1.92	2.04
Sample_79	1.40	84.06	19.16	7.31	4.32
Sample_96	0.29	33.82	60.97	8.32	4.80
Sample_9	0.17	8.18	78.13	1.36	1.17
Sample_76	42.22	17.77	50.39	8.55	7.24
Sample_168	80.40	9.21	8.68	0.94	0.66
Sample_152	1.64	11.11	69.89	5.58	3.88
Sample_4	1.51	20.72	81.59	37.15	23.99
Sample_68	5.40	79.23	12.42	4.22	1.40
Sample_134	3.77	76.77	20.64	3.43	1.46
Sample_11	1.24	26.59	68.06	15.27	12.26
Sample_121	21.75	22.77	61.80	9.93	6.93
Sample_118	72.15	6.55	16.62	1.79	1.61
Sample_198	0.26	28.33	63.95	4.79	3.37
Sample_186	17.81	51.73	28.61	3.67	2.43
Sample_52	89.22	6.95	2.75	0.39	0.33
Sample_21	0.60	85.06	20.07	5.96	2.57
Sample_100	0.95	50.86	44.53	4.66	3.28
Sample_130	2.04	60.11	38.90	4.53	2.88
Sample_144	84.39	12.97	2.58	0.91	0.32
Sample_117	0.67	84.45	27.66	6.88	3.58
Sample_185	8.31	39.52	50.83	5.14	4.75
Sample_197	0.51	95.43	12.60	4.25	1.65
Sample_145	69.97	3.50	25.70	3.35	2.61
Sample_10	1.23	18.27	67.08	2.18	2.05
Sample_131	40.11	45.37	13.95	1.79	1.06
Sample_203	0.84	87.99	14.66	2.34	1.42
Sample_51	34.53	24.60	38.07	3.21	2.46
Sample_75	84.36	12.14	3.55	0.97	0.43
Sample_84	0.61	44.43	56.48	7.41	5.09
Sample_150	1.47	80.89	27.20	5.98	4.03
Sample_167	23.96	39.87	38.37	4.54	4.54
Sample_110	0.56	45.98	53.61	6.30	4.67
Sample_120	3.35	49.72	47.37	5.35	4.25
Sample_132	14.74	76.54	13.24	3.51	1.29
Sample_72	0.91	28.72	47.30	3.37	1.97
Sample_5	0.37	33.72	63.39	13.47	11.14
Sample_199	0.60	36.88	69.52	12.85	7.62
Sample_187	0.64	79.31	21.67	4.26	2.36
Sample_115	1.24	11.31	85.04	19.36	15.71
Sample_81	12.49	56.23	37.10	5.02	3.37
Sample_99	5.91	13.41	83.38	11.76	9.12
Sample_159	0.64	34.47	62.38	4.36	4.82
Sample_18	0.66	84.88	15.65	3.57	1.72
